,Post ID,Text,Likes,Comments,Shares
0,10162943413340157,"Ania Payne added a new photo.
November 5, 2019 at 9:37 AM ·
More options",20,0,0
1,10162936137055157,,42,1,0
2,10162935963540157,"Ania Payne added 152 new photos from August 2019 — with Nidhi Rajan and 5 others at Flint Hills Discovery Center.
November 3, 2019 at 7:38 PM · Manhattan, KS, United States ·
More options

We couldn't have asked for a more perfect wedding. It was amazing to have family from afar, college besties, grad school buddies, and our Kansas friends all come together to celebrate with us! Thank you to everyone who made this day possible!",91,7,1
3,10162873391420157,💙🧡,118,5,0
4,10162525539165157,,1,0,0
5,10161771765485157,,15,0,0
6,10161771753240157,,37,1,0
7,10161715961940157,,10,0,0
8,10160629744725157,,27,0,0
9,10159313465640157,,16,1,0
10,10159174381575157,,5,0,0
11,10155888745890157,,3,0,0
12,10155316760375157,,14,1,0
13,10154945766660157,,6,0,0
14,10154359655395157,,2,0,0
15,10154189666335157,,2,0,0
16,10154004562840157,,4,3,0
17,10153732071265157,,2,1,0
18,10153676516785157,,1,0,0
19,10153676445515157,,4,0,0
