,upload_date,accessibility_caption,likes,comments
0,2021-06-09 14:34:09,"Photo by Bank of Baku on June 09, 2021. May be an image of screen and text that says 'Kart Balansını Komissiyasız artır 10:18 Kartmalumaları Kart O21、 909 AZN 11/22 5315 99** **** 1497 Ãdanişlar çıxarış Kartdan Karta igarBank imiti Karta Kartamadaxil nadaxil KART DiGOR LAB 75 3563 3984 2764 12/20 BankofBaku Baku DostBank'.",160,58
1,2021-06-07 10:21:26,"Photo by Bank of Baku on June 06, 2021. May be an image of one or more people and text.",1662,63
2,2021-06-05 09:10:45,,215,103
3,2021-06-03 11:04:51,"Photo by Bank of Baku on June 03, 2021. May be an image of text.",2666,37
4,2021-06-01 10:01:17,,199,21
5,2021-05-31 15:11:29,"Photo by Bank of Baku on May 31, 2021. May be an image of 4 people.",6987,187
6,2021-05-28 10:01:50,"Photo by Bank of Baku on May 27, 2021. May be an image of text that says '28 MAY RESPUBLİKA GÜNÜ BankofBaku AXIN BANKÇILE 145 MOLUM bankofbaku.com'.",174,23
7,2021-05-27 17:11:10,"Photo by Bank of Baku on May 27, 2021. May be an image of text.",184,55
8,2021-05-25 10:15:26,,907,134
9,2021-05-22 10:28:09,,448,134
10,2021-05-21 15:16:06,"Photo by Bank of Baku on May 21, 2021. May be an image of text.",1392,52
11,2021-05-20 15:26:10,"Photo by Bank of Baku on May 20, 2021. May be an image of text that says 'Pulunu Komissiyasız Nağdlaşdır 用 BankofBaku BÃlkartAiLa 6 BankofBaku 2233 4455 670 2233 VALID THRU 01/24 NAME SURNAME F BankofB Baku BANK 145 bankofbaku.com MELUAKT'.",1185,54
