,upload_date,accessibility_caption,likes,comments
0,2021-06-08 17:38:18,"Photo by EPUL.AZ on June 08, 2021. May be an image of text.",9,0
1,2021-06-04 11:00:27,"Photo by EPUL.AZ on June 04, 2021. May be an image of text.",15,0
2,2021-06-02 12:15:32,"Photo by EPUL.AZ on June 02, 2021. May be an image of text.",11,0
3,2021-05-31 11:19:47,,14,1
4,2021-05-29 10:41:29,"Photo by EPUL.AZ on May 28, 2021. May be an image of text.",9,0
5,2021-05-28 09:00:44,"Photo by EPUL.AZ on May 27, 2021. May be an image of ‎text that says '‎RESPUBLİKA GÜNÜ 28 MAY 10コ ا CEPUL‎'‎.",23,2
6,2021-05-25 17:00:58,"Photo by EPUL.AZ on May 25, 2021. May be an image of text.",23,0
7,2021-05-24 15:28:22,"Photo by EPUL.AZ on May 24, 2021. May be an image of text.",12,0
8,2021-05-21 11:00:24,"Photo by EPUL.AZ on May 21, 2021. May be an image of text.",11,0
9,2021-05-20 17:00:21,"Photo by EPUL.AZ on May 20, 2021. May be an image of text.",9,0
10,2021-05-18 12:56:58,,16,0
11,2021-05-13 09:28:22,"Photo by EPUL.AZ on May 12, 2021. May be an image of text that says 'RAMAZAN BAYRAMINIZ MÜBARAK! CEPUL'.",16,0
