,upload_date,accessibility_caption,likes,comments
0,2021-06-08 18:34:12,"Photo by Kapital Bank on June 08, 2021. May be an image of 4 people and text that says 'AGİLE SÃ–HBOTLORİ LIVE Instagram-da canlı yayımdayıq! Agile Yeniliklara açıq ol! Mark Velmiskin UX/UI üzre funksional lider Nigar Muradova Biznesin inkişafı üzre ekspert Babak Mammadov DevOps ekspert Fidan Hüseynova Agile Kouç Moderator 9 iyun, 16:00 kapital bank'.",528,58
1,2021-06-08 13:03:58,,202,27
2,2021-06-04 17:31:02,"Photo by Kapital Bank on June 04, 2021. May be an image of text.",423,359
3,2021-06-02 17:08:34,,290,124
4,2021-06-01 19:48:20,"Photo by Kapital Bank on June 01, 2021. May be an image of 4 people and text that says 'AGILE SÃHBOTLORİ LIVE Instagram-da canlı yayımdayıq! Agile-da sürat va keyfiyyat tandemi Farid İslamov Saha lideri Rüfet Sabziyev Mahsul sahibi Toğrul Rahimli Funksional lider Fidan Hüseynova Agile Kouç/ Moderator 2iyun, 2 yun, 16:00 kapital_b bank'.",707,97
5,2021-06-01 09:53:54,,457,20
6,2021-05-31 13:01:00,"Photo by Kapital Bank on May 31, 2021. May be an image of text.",615,178
7,2021-05-29 14:28:19,"Photo shared by Kapital Bank on May 29, 2021 tagging @endorphinbaku. May be an image of 1 person and text that says '#AnythinglsPossible KYIV INTERNATIONA ADVERTISING SING FESTIVAL Qüsurlu olan baxış bucağımızdır. Baxdığımız deyil. #HarŞeyMümkündür redhearts Kapit #HerŞeyMümkündür redhearts KapitBan Film PR Corporate Image Film Print & Publishing PR & Corporate Image'.",411,191
8,2021-05-28 09:00:49,,793,154
9,2021-05-27 13:33:38,"Photo by Kapital Bank on May 27, 2021. May be an image of text that says 'Omakhaqqı kartlarınızı ofisiniza gatiririk! Hüquqi şaxs va Fardi sahibkarlar üçün Kapital Bank VALID THRU VISA Electron MüştariBank KORPORATI BANKCILIQ'.",504,292
10,2021-05-26 10:25:00,"Maliyyələşmə müqavilələrinin imzalanması indi daha asan!

Artıq hüquqi şəxslər və fərdi sahibkarlar maliyyələşmə məhsulları üzrə sifarişlərin rəsmiləşdirilməsini banka gəlmədən həyata keçirə biləcək. Belə ki, ASAN imza ilə öhdəlik və zaminlik müqavilələrini onlayn şəkildə, rahatlıqla imzalaya biləcəklər.

Həmçinin, Müştəri Profili yaratmaqla Kapital Bankda hesab açmadan bir çox bank məhsullarına onlayn müraciət imkanı mövcuddur: ▶️https://cb.kapitalbank.az/

#BirinciBank",445,224
11,2021-05-25 18:47:46,"Photo by Kapital Bank on May 25, 2021. May be an image of text that says '2 MR. 0000 KapitalBank 1 Kapital LEE Bank CARDHOLDE VALID 0000 THRU 00/00 000 5 川 Standard mastercard. NFC ila kartı bankomata salmadan ATM-dan pul nağdlaşdırın!'.",2762,382
