,upload_date,accessibility_caption,likes,comments
0,2021-06-02 21:30:40,"Photo by MilliÖN on June 02, 2021. May be an image of text.",11,0
1,2021-06-01 17:42:14,"Photo by MilliÖN on June 01, 2021. May be an image of one or more people, people standing and text.",8,0
2,2021-05-31 16:41:08,"Photo by MilliÖN on May 31, 2021. May be an image of text.",22,0
3,2021-05-31 16:39:30,"Photo by MilliÖN on May 31, 2021. May be an image of text.",11,0
4,2021-05-31 10:23:53,"Photo by MilliÖN on May 30, 2021. May be an image of text.",15,1
5,2021-05-28 10:09:59,,22,2
6,2021-05-24 23:13:53,"Photo by MilliÖN on May 24, 2021. May be an image of text.",10,2
7,2021-05-17 22:41:07,"Photo by MilliÖN on May 17, 2021. May be an image of screen, laptop and text.",13,5
8,2021-05-13 09:54:59,,17,0
9,2021-05-10 12:12:37,"Photo by MilliÖN on May 10, 2021. May be an image of 1 person and text.",9,0
10,2021-05-09 15:47:09,"Photo by MilliÖN on May 09, 2021. May be an image of 4 people, people standing and text.",12,0
11,2021-05-07 14:58:46,"Photo by MilliÖN on May 07, 2021. May be an image of 1 person and text.",16,2
