,upload_date,accessibility_caption,likes,comments
0,2021-06-09 11:00:06,"Photo by eManat on June 09, 2021. May be an image of cosmetics, fragrance and text.",12,0
1,2021-06-07 10:59:01,"Photo by eManat on June 06, 2021. May be an image of text that says 'Ödamaniz anında hayata keçirilir! Bank ödenişleri T eManat TBC KREDİT'.",19,0
2,2021-06-03 14:29:26,"Photo by eManat on June 03, 2021. May be an image of text.",73,10
3,2021-06-03 14:09:08,"Photo by eManat on June 03, 2021. May be an image of text.",11,0
4,2021-06-02 11:00:42,"Photo by eManat on June 02, 2021. May be an image of text.",21,0
5,2021-05-31 21:00:38,,168,27
6,2021-05-31 11:00:57,"Photo by eManat on May 31, 2021. May be an image of text.",16,0
7,2021-05-28 09:00:55,,330,1
8,2021-05-26 11:00:58,"Photo by eManat on May 26, 2021. May be an image of laptop and text.",16,0
9,2021-05-24 11:00:17,,20,0
10,2021-05-21 11:00:18,"Photo by eManat on May 21, 2021. May be an image of text.",18,0
11,2021-05-19 11:00:29,"Photo by eManat on May 19, 2021. May be an image of text.",17,9
