,upload_date,accessibility_caption,likes,comments
0,2020-07-31 10:00:09,"Photo by Expresspay.az on July 30, 2020.",24,4
1,2020-07-20 12:45:03,"Photo by Expresspay.az on July 20, 2020. May be an image of text that says 'Music Gallery ödamalari Expresspay-da 1O0 ம pay byexpressbank 11 www.expresspay.az 132'.",16,0
2,2020-07-17 14:37:25,"Photo by Expresspay.az on July 17, 2020.",20,0
3,2020-07-16 11:02:59,"Photo by Expresspay.az on July 16, 2020. May be an image of text that says 'DSMF ödamalari Expresspay-da SMச byexpressbank pay ssbank www.expresspay.az 132'.",19,2
4,2020-07-13 15:19:42,"Photo by Expresspay.az on July 13, 2020.",24,0
5,2020-07-09 14:54:21,"Photo by Expresspay.az on July 09, 2020.",24,0
6,2020-07-03 17:39:04,"Photo by Expresspay.az on July 03, 2020.",15,0
7,2020-07-02 11:52:32,"Photo by Expresspay.az on July 02, 2020.",15,0
8,2020-07-01 10:50:35,,21,0
9,2020-06-29 15:35:13,"Photo by Expresspay.az on June 29, 2020. May be an image of text that says 'Pro Bono Vakil Bürosu ödamalari lari Expresspay-da da pay byexpressbank pay www.expresspay.az 132 €132'.",17,0
10,2020-06-26 12:09:18,"Photo by Expresspay.az on June 26, 2020. May be an image of 2 people.",28,0
11,2020-06-25 16:18:10,"Photo by Expresspay.az on June 25, 2020. May be an image of text that says 'ATV+ ödamalari Expresspay-da atv byexpressbank pay sbank www.expresspay.az 132'.",16,0
