,upload_date,accessibility_caption,likes,comments
0,2021-06-10 10:11:27,"Photo by Rabitabank on June 09, 2021. May be an image of text.",45,3
1,2021-06-09 09:04:44,"Photo by Rabitabank on June 08, 2021. May be an image of text that says 'Yaşıla keç, tabiati qoru İyun ayı arzinda Kartmane alda et, Yaşıllandırmanın çoxalmasına destak ol Rabitaba SIA 8000 2/ 4189 189 NAME SURNAME Rabitabank 133 133 www.rabitabank.com'.",138,7
2,2021-06-07 12:50:43,"Photo by Rabitabank on June 07, 2021. May be an image of 1 person and text that says 'Ganc aileler üçün ilk manzil krediti İllik cami 7% ila 150 000 AZN Rabitabank 133 133 www.rabitabank.com'.",167,24
3,2021-06-04 14:58:38,"Photo by Rabitabank on June 04, 2021. May be an image of text that says 'Yüksek süret, aşağı faizle! İLLİK 15% ila 20 OOo AZN 36 ayadak Rabitabank 133 www.rabitabank.com'.",114,20
4,2021-06-01 11:25:57,"Photo by Rabitabank on June 01, 2021. May be an image of text that says 'MülkiAviasiyaişçilarüçün Mülki Aviasiya işçilari üçün 20 000 AZN KOMİSSİYASIZ kredit 5 Rabitabank NAME 4189 SURNAME 12/ 567 Rabitabank 133 www.rabitabank.com'.",137,19
5,2021-06-01 10:39:09,"Photo by Rabitabank on May 31, 2021. May be an image of text that says 'Uşaqların Beynalxalq Müdafiesi günü mübarak! Rabitabank 133 133 www.rabitabank.com'.",76,0
6,2021-05-31 13:01:30,"Photo by Rabitabank on May 31, 2021.",89,0
7,2021-05-28 07:49:16,"Photo by Rabitabank on May 27, 2021. May be an image of text.",184,4
8,2021-05-26 10:55:18,,102,16
9,2021-05-24 09:49:02,"Photo by Rabitabank on May 23, 2021. May be an image of text that says 'Ekologiya va Tabii Sarvatlar Nazirliyi işçilarinin peşa bayramları münasibatile kampaniya kartmane 4189 4289567823645978 5678 2364 5978 12/22 NAME SURNAME VISA komissiya % Rabitabank 133 www.rabitabank.com'.",168,21
10,2021-05-20 11:58:40,"Photo by Rabitabank on May 20, 2021. May be an image of text that says 'Tender elanlarını rasmi veb-saytımızdan izlayin! Rabitabank 133 133 www.rabitabank.com'.",93,4
11,2021-05-20 09:30:06,"Photo by Rabitabank on May 19, 2021. May be an image of 1 person and text that says 'Visa ila bütün mahsullara 5% endirim Rabitabank Rabitabank kartmane 再 4189 8000 89800023645978 2364 5978 12/22 NAME SURNAME VISA ×× kontakt ン VISA'.",105,6
