,Tweet Date,Tweet Id,Text
0,2021-06-10 04:52:50+00:00,1402851224475488258,"@Motilalmistry5 @Ramjee_yadav0 @ranvijaylive Sirf vote bank ho. 
Uss se zyada kuch nahi.. 
Saambe baithne nahi diya jaata
Na chappal pehen kar ghoomne.. 
Na shaadi mein ghodi chadhne diya jaata.. 
News nahi dekhte?? 
Aankh kholo dost.."
1,2021-06-10 04:00:44+00:00,1402838114201124865,2 Palestinian officers reported killed in West Bank shootout https://t.co/eW2rzkPPLh
2,2021-06-09 12:07:24+00:00,1402598201849434114,"Chtěl jsem zrušit domluvenou schůzku s paní bankéřkou na pobočce v @Air_Bank ale pro infolinku je to neřešitelný problém, na pobočku to neumí dát vědět. A číslo na pobočku taky není. Pouze to mohou poznamenat ke mě v jejich interním systému. 🤦‍♂️ To je dost nešťastné řešení."
3,2021-06-09 06:11:27+00:00,1402508621397770240,"SBI customers ALERT: State Bank of India changes rules for cash withdrawal from ATM, branch https://t.co/iFhYOzUutZ"
4,2021-06-09 05:41:13+00:00,1402501014557712387,World Bank opposes vaccine intellectual property waiver as WTO talks resume https://t.co/dBerMUXwVb
5,2021-06-09 05:22:58+00:00,1402496419580289031,Bank Holidays alert! Banks to remain closed for 3 days next week in THESE states – Know dates here https://t.co/cGFFv6tO1t
6,2021-06-08 18:46:19+00:00,1402336203211522049,"India’s GDP estimated to grow at 8.3% in FY2021-22, says World Bank https://t.co/RZpflAh6c2"
7,2021-06-08 03:24:23+00:00,1402104190650896384,"@MyIndianBank @PMOIndia @FinMinIndia 
In varanasi Indian Bank need more ventilator for banking services.  Mostly branches No Link No Link"
8,2021-06-07 17:22:08+00:00,1401952628637065221,@Charzafar11 @Kashmirikotlian Chachaa ay ga nahi sb kuch pehly krna hota hai israel ka founder theodar harzil na sb se pehly bank banya tha turkey ma beht kr us n asazisn han heson karasoo uska dost tha us na jaryn hilaa de thi puri muslim qoaum ki ots better pehly sb kuch bnao bad ma khudmuktari ka nara lgna
9,2021-06-07 14:48:28+00:00,1401913958655614985,My bank statements are just lists of my mood swings.
10,2021-06-07 14:45:34+00:00,1401913227185995777,Tesla with Power Bank 😅 https://t.co/OWvDZ8R7Gs
11,2021-06-07 14:42:16+00:00,1401912399326638083,@tanujalive @aflatoonsan @Anuragkukreti7 Mere dost KO lone chaiye dilado sir. He is running bank to bank. 1 year before he was working in cruise ship for . Now he is deliver guy
12,2021-06-07 14:15:26+00:00,1401905645373165572,"She:- तुम्हारे पास क्या है..?
मेरे पापा के पास दुनिया भर का पैसा है .!

He:- क्यों तुम्हारे पापा World Bank में काम करते हैैं.?🤷🏻‍♂️
""ब्लॉक हो गया व्रो""🤧✌️"
13,2021-06-07 14:11:00+00:00,1401904530292318208,"Aapko thoda derse malum pada,these staffs from RBL bank credit card department from  top to bottom are selected guns (chhattahua badmas) rulla dega aapko,abhi toh party suru hua hai,picture ab baki hai dost. https://t.co/7DKE5jhtmI"
14,2021-06-07 05:08:01+00:00,1401767882359406592,@UPGovt aaj mai  dost ke sath purvanchal bank branch name chilhiya branch no 210 Siddharth nagar Uttar pardesh aaya 10:32 am tak koi karmchari nahi aaya https://t.co/P3SkUFSa01
15,2021-06-07 04:45:39+00:00,1401762255851511811,@anijais89 @GauravKhamosh @frustratedstdnt @ExSecular And kabiliyat? Mein khud cast system ka shikhar hua hu.. Mera marks 183 tha jo last cut off se 1 kam tha. Aur medical seat miss ho gaya. Par mera hi dost hain wo SC tha uska pitaji bank ke po the usne sirf 38 score kiya..usko MBBS mein seat milgaya. Fair hua na?
16,2021-06-07 04:06:42+00:00,1401752451162599427,"Video link https://t.co/3G7Re4S2qz 
Namste Dost Naya Video A Chuka Hain Amazon pay balance transfer to Bank account 100% Working Tricks Video ko Last Tak dekhe 
LIKE SHARE COMMENT KARE #amazon #AmazonQuiz #amazon #youtubechannel #youtuber https://t.co/rCDJnz4OSb"
17,2021-06-07 04:05:19+00:00,1401752103031164931,"Video link https://t.co/3G7Re4S2qz 
Namste Dost Naya Video A Chuka Hain Amazon pay balance transfer to Bank account 100% Working Tricks  Video ko Last Tak dekhe  LIKE SHARE COMMENT KARE #amazonpay #AmazonQuiz #amazon #youtubechannel #youtubevideo"
18,2021-06-07 02:58:05+00:00,1401735185088004099,"@kasikp V sobotu odpoledne to nefungovalo, hlásilo mi to neplatné údaje(prý to ale bylo přetížené) a než se mi tam povedlo se dostat přes portál občana přes bank. identitu, absolvovala jsem dost strastiplný proces nefunkčního ověření u mojeid (nešlo mi přes Android ani Windows Hello) 1/2"
19,2021-06-05 11:40:52+00:00,1401141972451008515,@Ralph96239509 @SaketGokhale are bhai to mere software ki fikar mat kar. Ye saab loans 2015 - 2019 ke beech mein hain. Uske upar tumhare sab industrialist dost bank boards ke directors hain - 1/n
20,2021-06-05 11:31:00+00:00,1401139489003565059,security bank at dost baka naman hehehehee
